trat  bloco  altpvagem	altplanta estande prod_ton
T1	1	11.6	71.2	8.36	3.3524
T1	2	13.6	70.0	10.16	3.1036
T1	3	12.0	67.6	9.42	2.6478
T1	4	10.4	68.6	11.06	2.8636
T1	5	12.8	73.4	8.12	3.1438
T1	6	13.0	73.8	9.66	3.3844
T2	1	11.6	75.4	9.52	3.4224
T2	2	12.0	75.6	11.52	3.1036
T2	3	 9.6	76.0	10.32	2.6478
T2	4	11.6	72.6	11.56	2.8636
T2	5	10.8	69.0	12.18	3.1438
T2	6	12.2	66.8	10.56	3.3844
T3	1	11.6	77.2	11.42	3.2004
T3	2	 9.0	79.6	11.96	2.9382
T3	3	11.2	72.6	12.02	2.6086
T3	4	12.0	73.4	11.58	3.0242
T3	5	10.4	68.4	12.14	2.5750
T3	6	12.7	67.2	11.98	2.7968
T4	1	13.8	64.6	9.70	3.1166
T4	2	14.8	57.6	9.82	2.6328
T4	3	15.8	47.4	11.54	1.1206
T4	4	17.8	52.2	9.56	1.3640
T4	5	14.6	64.0	11.98	1.6806
T4	6	13.2	63.4	10.94	1.9792
T5	1	19.0	88.0	13.50	2.9342
T5	2	17.8	75.6	13.78	3.2634
T5	3	20.0	82.0	13.66	3.3276
T5	4	16.6	79.4	13.58	3.1326
T5	5	17.8	81.4	11.22	3.4582
T5	6	18.8	77.2	9.76	3.9386
T6	1	16.0	64.8	13.66	3.3344
T6	2	14.2	69.0	13.68	3.5038
T6	3	15.0	64.8	14.96	3.8820
T6	4	14.6	63.2	14.60	3.3734
T6	5	12.8	56.0	12.62	4.3914
T6	6	14.8	56.4	11.80	3.6828
T7	1	21.4	64.4	13.26	3.1046
T7	2	21.6	68.0	12.86	3.2698
T7	3	21.4	64.4	11.14	3.5612
T7	4	20.2	62.6	11.72	3.3908
T7	5	21.1	63.2	12.10	2.8176
T7	6	15.8	67.4	14.18	3.2490
T8	1	19.8	84.2	10.18	2.8862
T8	2	20.0	74.2	9.84	3.5840
T8	3	18.6	79.4	9.82	4.1674
T8	4	16.8	72.0	9.62	3.9022
T8	5	19.4	85.4	9.02	4.0408
T8	6	18.2	82.0	9.64	3.8710
